# spectral_partial_sums_N400.csv
# WHAT THIS IS: the TRUNCATED partial sum  s_k(p) = sum_{n=1}^{400} gamma_n^k * cos(gamma_n*log p)
#   over the first N=400 nontrivial zeta zeros (height T ~ 530).
# WARNING 1 (cutoff-dependent / DIVERGENT): this sum does NOT converge as N grows.
#   The same s_k(p) changes by factors 3x-9x from N=200 to N=400 (verified). There is
#   no canonical value and no meaningful '80 digits'; every value here is an artifact of N=400.
# WARNING 2 (NOT P19 anatomy): P19's anatomy = Satake power sums sum_i alpha_{i,p}^k.
#   For zeta (degree 1, alpha_p=1) these are identically 1. This file is a DIFFERENT object.
# WARNING 3: any 'grading'/'positivity' computed from these values inherits the arbitrary N=400 cutoff.
p,k,value
37,10,"-174734886048513877769528595559.5541573831"
37,11,"-111922781518820092381335035807925.2834515"
37,12,"-72144693327308916112211187174196496.62860"
41,1,"-22855.56003503278298307194846406448094671"
41,2,"-10767093.89554063825623364504357775916153"
41,3,"-5688532363.936851791549964557879558361685"
41,4,"-3204138623246.350915825225500093949340113"
41,5,"-1878869572129899.079816958862915593040978"
41,6,"-1132401196183680328.772009341240728341796"
41,7,"-696139163637244030105.9537656108742960253"
41,8,"-434340412560173901652205.3847823853987265"
41,9,"-274111708339996593332576214.1752653641792"
41,10,"-174555784239235957878591958040.0945369370"
41,11,"-111962549571978682373569678869170.2338288"
41,12,"-72236243900543922866699916818416725.72662"
43,1,"-21902.38164953735035060912439814245551396"
43,2,"-10164864.78484736525452866750237399936302"
43,3,"-5290393384.715203293224507209301365228292"
43,4,"-2936290513939.540311982487260376477112299"
43,5,"-1697082980743191.126863882611516912765607"
43,6,"-1008416810547697313.642107950466209839479"
43,7,"-611332871070300548259.6824960791927840697"
43,8,"-376230916174932370843417.3726842998815551"
43,9,"-234253193799695419977094156.6648869479777"
43,10,"-147199569826751582912321217166.4623832996"
43,11,"-93181386107844981612197753427888.47213417"
43,12,"-59340932312285799248404842518381270.67610"
47,1,"-20021.42828469309259844150624998874545833"
47,2,"-8953330.743909464038160055176873883010215"
47,3,"-4484158680.959862441474368633644425772837"
47,4,"-2391760351851.012782015084845256779023018"
47,5,"-1326876934740617.788990645859682724716032"
47,6,"-756015294177577460.2548633132377712008824"
47,7,"-439094137107564369603.2259176615911529568"
47,8,"-258716591155364142358539.5921695373701926"
47,9,"-154141752401598077086256500.1312751521084"
47,10,"-92652154135127014109919322863.71011036719"
47,11,"-56093780117994697198979108930498.42251652"
47,12,"-34164118497963326400309983689807327.25098"
53,1,"-20041.81974208809157292155859668553299078"
53,2,"-9100734.538451599425209193681795624074197"
53,3,"-4638439679.834068456163066464070158488795"
53,4,"-2520762040189.671691005987843332613075585"
53,5,"-1426474533811211.871030928728079338966258"
53,6,"-829997162516312777.5633168674580231062256"
53,7,"-492826859864770590248.8763460481145839121"
53,8,"-297171251254589057185653.4588282832390238"
53,9,"-181373920889605428325523596.0521640023041"
53,10,"-111782568616731233818852507209.3721700727"
53,11,"-69446449995972050975459354128179.90934131"
53,12,"-43434182984437775005364086023794659.61416"
59,1,"-17408.70641748755174500632466989384463727"
59,2,"-7443767.140141511357141172206435522303766"
59,3,"-3532710408.366459290069948542714296498823"
59,4,"-1773193536836.814235506334927190975825261"
59,5,"-918749082560557.1735186343560069464056070"
59,6,"-484630047859154068.1868057511094651477923"
59,7,"-257916969050431029252.6004337419608363485"
59,8,"-137546360348685046078348.1220964184918040"
59,9,"-73062340770121715392946052.00887852263448"
59,10,"-38410851281699546975346636094.07633315613"
59,11,"-19829165138355040213310921978567.67055014"
59,12,"-9937543624937070334020417826735114.926336"
61,1,"-19474.25818992690194389718906531224689110"
61,2,"-8895058.394846591280837036935893533829842"
61,3,"-4534820569.067712959729956843236413263734"
61,4,"-2461167895917.529317485719550621087926144"
61,5,"-1389629616983344.816258184783298016588191"
61,6,"-806302323455443503.6447715449711945223253"
61,7,"-477361261445543814885.3284026725662644822"
61,8,"-287093663058631659369533.1199702681538897"
61,9,"-174888378886997977512519453.8613242270853"
61,10,"-107692565349802447967781230851.5582405105"
61,11,"-66937196320363095935618831172269.78663057"
61,12,"-41949697507727451354047782615048868.04819"
67,1,"-20219.64501608260423453630233516982286995"
67,2,"-9516999.312535473950465392983436944798046"
67,3,"-5016144271.790335891112563666249098974346"
67,4,"-2816905139071.384344025649964090404348988"
67,5,"-1645932727363016.216508913479218418119406"
67,6,"-988044119870840977.9321805387855593294934"
67,7,"-604749408132565258447.0552796801413122488"
67,8,"-375566905335483009860189.1067331196593669"
67,9,"-235864962620233262170197491.9054031097919"
67,10,"-149441783657253859164038889820.8134952706"
67,11,"-95357184629621903043988987216855.45379563"
67,12,"-61197433261482360842944398446539831.22959"
71,1,"-19612.67882531866421401795820859889812946"
71,2,"-9286183.446708591080699124554657509990852"
71,3,"-4921087997.523121116494399899385185348929"
71,4,"-2786196838656.012207880092899962869967931"
71,5,"-1645340392473344.090308100932903688978356"
71,6,"-999742679925729613.2829278836047796251796"
71,7,"-619850163231704430290.6254937273696936579"
71,8,"-389990399298445513070300.3385524459873331"
71,9,"-248036480382450963594797862.9090653425989"
71,10,"-159025535238409204882784952846.8694176407"
71,11,"-102572041678678634117614709481304.2902046"
71,12,"-66459570367211095941502069131963210.95913"
73,1,"-19109.73113293443802911958043720360818952"
73,2,"-8970629.911999268240513539800423010110073"
73,3,"-4717065031.732712802715456616442798340214"
73,4,"-2652080067902.918305690803801709464581215"
73,5,"-1556488106190484.338688593875797741439722"
73,6,"-940665719785267057.8202317727528952827485"
73,7,"-580511703854073556329.6654587072802542519"
73,8,"-363787248286816658780580.0166180498012219"
73,9,"-230589520200061012019132125.9013739622227"
73,10,"-147418416230496569076519759082.3437125163"
73,11,"-94858672091727708459082338078650.17917502"
73,12,"-61340417475954580708709255280528747.47653"
79,1,"-17120.43982032245444742532984767176203537"
79,2,"-7589285.620193072461141157213075875076456"
79,3,"-3751332631.558426627841849831738537936298"
79,4,"-1972053129528.724341236270273798693187343"
79,5,"-1077073749955811.046018673153639885538575"
79,6,"-603444226333962179.7623531559428072630819"
79,7,"-344173763432682154222.6540626916488601340"
79,8,"-198836224616608081242017.7297376909339844"
79,9,"-115944257799361166859031278.8528160557776"
79,10,"-68055627502107140240498972373.93464547262"
79,11,"-40122270828771939657453922208947.52177315"
79,12,"-23713336898157803848445295351700670.99819"
83,1,"-17865.40451336024523077475222105932261723"
83,2,"-8145507.900878730933861296965948142078660"
83,3,"-4143587802.095136335386589273912926355444"
83,4,"-2243209245971.706432882619998621957534767"
83,5,"-1262823463901828.847575396886453515722491"
83,6,"-730095664766324339.8172066848180208272726"
83,7,"-430320707766316377046.3787811934712637430"
83,8,"-257365714983092512623401.5623622473411603"
83,9,"-155695043788807927156108758.5654769602708"
83,10,"-95054564426259023854411609363.49044783431"
83,11,"-58465875865241105021918693810225.44879637"
83,12,"-36181767694442785949132692453364111.57001"
89,1,"-16688.05718509142283489648638293351546481"
89,2,"-7411787.572935670320034547241155838692584"
89,3,"-3684708777.618150095678472580848879166315"
89,4,"-1951007030151.702652880154373354248632865"
89,5,"-1074408120642814.364598119509258073696651"
89,6,"-607576609642324250.6525028519737816667987"
89,7,"-350136210327971544942.4704333890674574163"
89,8,"-204607618285373832661369.4638732429133549"
89,9,"-120828029834659958125172636.1223251512555"
89,10,"-71927889527684211300735653578.50771190018"
89,11,"-43082228128165812196457945089520.33602371"
89,12,"-25925973959924120037195327040825664.78681"
97,1,"-17379.56936459860090636105007168717644360"
97,2,"-7973429.564432132302507253156900089146402"
97,3,"-4072891707.148675544566319233519281905950"
97,4,"-2209677015273.415901064409169530599414096"
97,5,"-1243496284516305.628361243114430851021910"
97,6,"-716614704193907653.9694009666627684500614"
97,7,"-419679452158439291200.4983867987584837416"
97,8,"-248523559147279121955124.2193463453689874"
97,9,"-148294633297838487923682857.5283265988026"
97,10,"-88937478762569335296560104260.18890123915"
97,11,"-53504965605218632601159532164426.55935797"
97,12,"-32237751499796062618653111876920690.31997"
